combat_sprites.png
63
0 bullet_1 176 96 16 16 
1 bullet_1_b 176 112 16 16 
2 bullet_1_w 176 128 16 16 
3 bullet_2 136 224 12 12 
4 bullet_2_b 148 224 12 12 
5 bullet_2_w 160 224 12 12 
6 bullet_3 208 224 8 8 
7 bullet_3_b 216 224 8 8 
8 bullet_3_w 224 224 8 8 
9 bullet_4 172 232 6 4 
10 bullet_4_b 178 232 6 4 
11 bullet_4_w 184 232 6 4 
12 bullet_5 252 224 4 1 
13 bullet_5_b 252 225 4 1 
14 bullet_5_w 252 226 4 1 
15 cruiser_1 64 224 24 16 
16 cruiser_1_b 88 224 24 16 
17 cruiser_1_w 112 224 24 16 
18 cs1 96 192 32 16 
19 cs1_b 128 192 32 16 
20 cs1_w 160 192 32 16 
21 cs2 192 192 32 16 
22 cs2_b 224 192 32 16 
23 cs2_w 96 208 32 16 
24 cs4 128 208 32 16 
25 cs4_b 160 208 32 16 
26 cs4_w 192 208 32 16 
27 destroyer_1 224 208 32 16 
28 destroyer_1_b 0 224 32 16 
29 destroyer_1_w 32 224 32 16 
30 gun1 192 0 64 64 
31 gun1_b 192 64 64 64 
32 gun1_w 192 128 64 64 
33 gun2 144 96 32 32 
34 gun2_b 144 128 32 32 
35 gun2_w 144 160 32 32 
36 gun3 0 192 32 32 
37 gun3_b 32 192 32 32 
38 gun3_w 64 192 32 32 
39 interceptor_1 172 224 12 8 
40 interceptor_1_b 184 224 12 8 
41 interceptor_1_w 196 224 12 8 
42 lazer_beam_1 0 245 1 8 
43 lazer_beam_1_b 1 245 1 8 
44 lazer_beam_1_w 2 245 1 8 
45 lazer_bullet_1 250 229 5 2 
46 lazer_bullet_1_b 190 232 5 2 
47 lazer_bullet_1_w 195 232 5 2 
48 lazer_bullet_2 232 229 6 3 
49 lazer_bullet_2_b 238 229 6 3 
50 lazer_bullet_2_w 244 229 6 3 
51 lazer_bullet_3 232 224 10 5 
52 lazer_bullet_3_b 242 224 10 5 
53 lazer_bullet_3_w 0 240 10 5 
54 mother1 0 0 64 96 
55 mother1_b 64 0 64 96 
56 mother1_w 128 0 64 96 
57 mother2 0 96 48 96 
58 mother2_b 48 96 48 96 
59 mother2_w 96 96 48 96 
60 player_1 176 144 16 16 
61 player_1_b 176 160 16 16 
62 player_1_w 176 176 16 16 
