shooter_sprites.png
39
0 arrow 0 0 32 32 
1 arrow_b 32 0 32 32 
2 arrow_w 0 32 32 32 
3 bullet_1 64 48 16 16 
4 bullet_1_b 72 64 16 16 
5 bullet_1_w 88 0 16 16 
6 bullet_2 32 104 12 12 
7 bullet_2_b 44 104 12 12 
8 bullet_2_w 56 104 12 12 
9 crate 88 16 16 16 
10 crate_b 88 32 16 16 
11 crate_w 88 48 16 16 
12 enemy_1 88 64 16 16 
13 enemy_1_b 0 88 16 16 
14 enemy_1_w 16 88 16 16 
15 explosion_1 32 32 24 24 
16 explosion_1_b 64 0 24 24 
17 explosion_1_w 64 24 24 24 
18 explosion_2 0 64 24 24 
19 explosion_2_b 24 64 24 24 
20 explosion_2_w 48 64 24 24 
21 lazer 96 80 1 8 
22 lazer_b 97 80 1 8 
23 lazer_w 98 80 1 8 
24 nail 104 96 8 8 
25 nail_b 112 96 8 8 
26 nail_w 88 80 8 8 
27 player_1 32 88 16 16 
28 player_1_b 48 88 16 16 
29 player_1_w 64 88 16 16 
30 player_turn_2 80 88 16 16 
31 player_turn_2_b 104 0 16 16 
32 player_turn_2_w 104 16 16 16 
33 player_turn_left 104 32 16 16 
34 player_turn_left_b 104 48 16 16 
35 player_turn_left_w 104 64 16 16 
36 player_turn_right 104 80 16 16 
37 player_turn_right_b 0 104 16 16 
38 player_turn_right_w 16 104 16 16 
